# Galaxy: NGC2841
# Columns: R (kpc) | v_obs (km/s) | err_v (km/s) | v_gas (km/s) | v_disk (km/s) | v_bul (km/s)
2.42  245.0  10.0   12.1  168.4  188.2
4.84  275.0   9.0   22.4  215.1  182.4
7.26  285.0   8.0   30.8  232.0  164.0
9.68  288.0   8.0   37.6  233.4  144.5
12.10 288.0   8.0   42.8  226.5  127.2
14.52 286.0   8.0   46.6  215.2  112.4
16.94 284.0   8.0   49.2  201.8  100.0
19.36 282.0   8.0   50.8  187.8   89.5
21.78 281.0   8.0   51.5  174.1   80.5
24.20 280.0   8.0   51.5  161.0   72.8
26.62 280.0   9.0   50.9  148.8   66.1
29.04 281.0   9.0   49.8  137.4   60.3
31.46 282.0   9.0   48.4  127.0   55.2
33.88 283.0  10.0   46.7  117.4   50.7
36.30 284.0  10.0   44.8  108.6   46.8
38.72 285.0  10.0   42.8  100.6   43.2
41.14 286.0  11.0   40.7   93.3   40.1
43.56 287.0  11.0   38.5   86.6   37.3
45.98 288.0  12.0   36.3   80.5   34.7
48.40 289.0  12.0   34.1   75.0   32.4
50.82 290.0  13.0   31.9   69.9   30.3
