# Galaxy: NGC3198
# Columns: R (kpc) | v_obs (km/s) | err_v (km/s) | v_gas (km/s) | v_disk (km/s) | v_bul (km/s)
1.36   55.0   6.0   10.2   68.4   0.0
2.72   92.0   5.0   18.5  105.1   0.0
4.08  118.0   5.0   25.4  122.4   0.0
5.44  133.0   5.0   30.8  128.0   0.0
6.80  142.0   5.0   34.8  126.8   0.0
8.16  147.0   5.0   37.6  122.2   0.0
9.52  149.0   5.0   39.4  116.0   0.0
10.88 150.0   5.0   40.4  109.1   0.0
12.24 150.0   5.0   40.8  102.0   0.0
13.60 150.0   5.0   40.8   95.0   0.0
14.96 149.0   5.0   40.4   88.5   0.0
16.32 149.0   5.0   39.7   82.4   0.0
17.68 148.0   6.0   38.8   76.9   0.0
19.04 148.0   6.0   37.7   71.8   0.0
20.40 148.0   6.0   36.5   67.2   0.0
21.76 148.0   7.0   35.2   63.0   0.0
23.12 147.0   7.0   33.8   59.2   0.0
24.48 146.0   8.0   32.4   55.7   0.0
