# Galaxy: UGC05750
# Columns: R (kpc) | v_obs (km/s) | err_v (km/s) | v_gas (km/s) | v_disk (km/s) | v_bul (km/s)
0.98   25.0   7.0    7.8   20.4   0.0
1.96   42.0   6.0   14.6   34.2   0.0
2.94   54.0   5.0   20.1   43.8   0.0
3.92   62.0   5.0   24.4   49.6   0.0
4.90   67.0   5.0   27.4   52.4   0.0
5.88   70.0   5.0   29.2   53.1   0.0
6.86   72.0   5.0   30.1   52.3   0.0
7.84   73.0   6.0   30.4   50.6   0.0
8.82   74.0   6.0   30.1   48.4   0.0
9.80   74.0   7.0   29.4   46.0   0.0
10.78  73.0   8.0   28.4   43.5   0.0
