# Galaxy: F568-3
# Columns: R (kpc) | v_obs (km/s) | err_v (km/s) | v_gas (km/s) | v_disk (km/s) | v_bul (km/s)
1.54   55.0   12.0   10.2   39.1   0.0
3.08   72.0    9.0   18.4   57.9   0.0
4.62   88.0    7.0   24.1   69.9   0.0
6.15  101.0    6.0   28.5   77.8   0.0
7.69  110.0    6.0   31.4   81.7   0.0
9.23  116.0    6.0   32.9   82.8   0.0
10.77 119.0    7.0   33.8   82.4   0.0
12.31 121.0    7.0   34.2   81.3   0.0
13.85 121.0    8.0   34.3   79.9   0.0
15.38 120.0    8.0   34.0   78.1   0.0
16.92 118.0    9.0   33.4   76.3   0.0
18.46 117.0   10.0   32.5   74.5   0.0
