# Galaxy: F583-1
# Columns: R (kpc) | v_obs (km/s) | err_v (km/s) | v_gas (km/s) | v_disk (km/s) | v_bul (km/s)
0.87   18.0   6.0    6.2   14.5   0.0
1.74   31.0   5.0   12.8   25.4   0.0
2.61   43.0   4.0   18.6   34.1   0.0
3.48   53.0   4.0   23.4   40.5   0.0
4.35   60.0   4.0   27.2   44.8   0.0
5.22   66.0   4.0   30.1   47.2   0.0
6.09   70.0   4.0   32.1   48.2   0.0
6.96   73.0   4.0   33.5   48.1   0.0
7.83   76.0   4.0   34.3   47.2   0.0
8.70   78.0   5.0   34.6   45.8   0.0
9.57   79.0   5.0   34.5   44.1   0.0
10.44  80.0   5.0   34.1   42.2   0.0
11.31  81.0   6.0   33.4   40.2   0.0
12.18  81.0   6.0   32.5   38.3   0.0
13.05  80.0   7.0   31.4   36.4   0.0
